Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
10/25/2022,K222070,EndoNaut,Therenva SAS,Radiology,OWB
10/21/2022,K223042,Viz LVO ContaCT,"Viz.ai, Inc.",Radiology,QAS
10/20/2022,K222361,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.",Radiology,JAK
10/18/2022,K221632,Spine CAMP,"Medical Metrics, Inc.",Radiology,QIH
10/18/2022,DEN220024,ScanNav Anatomy Peripheral Nerve Block,	Intelligent Ultrasound Limited,Anesthesiology,QRG
10/14/2022,K213857,HeartFlow Analysis,"HeartFlow, Inc.",Cardiovascular,PJA
10/14/2022,K221305,AI-Rad Companion Organs RT,"Siemens Medical Solutions USA, Inc",Radiology,QKB
10/07/2022,K220709,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
10/06/2022,K221449,Genius AI Detection 2.0,"Hologic, Inc.",Radiology,QDQ
10/05/2022,K221892,VISIONAIR,PacificMD Biotech Llc,Anesthesiology,BXQ
09/30/2022,K211611,QIR Suite,CASIS Cardiac Simulation & Imaging Software,Radiology,QIH
09/29/2022,K220080,CogNet QmTRIAGE,"MedCognetics, Inc.",Radiology,QFM
09/28/2022,K222329,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
09/27/2022,K221738,NS-HGlio,Neosoma Inc.,Radiology,QIH
09/21/2022,K221179,SomnoMetry,Neumetry Medical Inc,Neurology,OLZ
09/20/2022,K213353,Aorta-CAD,"Imagen Technologies, Inc",Radiology,MYN
09/13/2022,K221733,"MAGNETOM Sola, MAGNETOM Altea, MAGNETOM Sola Fit","Siemens Medical Solutions USA, Inc.",Radiology,LNH
09/12/2022,K221456,Rapid ICH,iSchemaView Inc.,Radiology,QAS
09/12/2022,K220986,Aquilion Precision (TSX-304A/4) V10.10 with AiCE,Canon Medical Systems Corporation,Radiology,JAK
09/08/2022,K222076,EFAI ChestSuite XR Pleural Effusion Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QFM
09/07/2022,K220783,syngo.via RT Image Suite,Siemens Medical Solutions USA Inc.,Radiology,MUJ
09/06/2022,K213960,LiverMultiScan v5 (LMSv5),Perspectum,Radiology,LNH
09/01/2022,K221241,DrAid for Radiology v1,VinBrain Joint Stock Company,Radiology,QFM
08/29/2022,K221100,Viz RV/LV,"Viz.ai, Inc.",Radiology,QIH
08/26/2022,K222277,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
08/25/2022,K211841,MRI Planner,Spectronic Medical AB,Radiology,MUJ
08/25/2022,K221962,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD
08/24/2022,K220598,AutoContour Model RADAC V2,"Radformation, Inc.",Radiology,QKB
08/22/2022,K221599,HS40 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
08/19/2022,K222172,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
08/12/2022,K220349,TeraRecon Neuro,"TeraRecon, Inc",Radiology,LLZ
08/12/2022,K213686,SKOUT Software,Iterative Scopes Inc.,Gastroenterology-Urology,QNP
08/11/2022,K213713,AI-Rad Companion (Pulmonary),Siemens Healthcare GmBh,Radiology,JAK
08/08/2022,K213645,ClearPoint Maestro Brain Model,"ClearPoint Neuro, Inc.",Radiology,QIH
08/03/2022,K221432,Customize,3D-Side SA,Radiology,QIH
08/03/2022,K221347,Transpara 1.7.2,ScreenPoint Medical B.V.,Radiology,QDQ
07/29/2022,K213760,ABMD Software,HeartLung Corporation,Radiology,KGI
07/29/2022,K220961,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK
07/28/2022,K221923,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH
07/28/2022,K213998,cvi42 Auto Imaging Software Application,Circle Cardiovascular Imaging Inc,Radiology,QIH
07/27/2022,K210822,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK
07/25/2022,K220439,Viz SDH,"Viz.ai, Inc.",Radiology,QAS
07/22/2022,K220940,"EchoPAC Software Only, EchoPAC Plug-in","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,QIH
07/22/2022,K220624,AI4CMR v1.0,AI4MedImaging Medical Solutions S.A.,Radiology,LLZ
07/22/2022,K220882,"Vivid E80, Vivid E90, Vivid E95",GE Medical Systems Ultrasound and,Radiology,IYN
07/20/2022,K220956,Libby Echo:Prio,"Dyad Medical, Inc",Radiology,QIH
07/19/2022,K220815,BrainInsight,"Hyperfine, Inc.",Radiology,QIH
07/19/2022,K213409,ZEUS System (Zio Watch),"iRhythm Technologies, Inc.",Cardiovascular,DQK
07/19/2022,K213357,"Study Watch with Irregular Pulse Monitor (Home), Study Watch with Irregular Pulse Monitor",Verily Life Sciences LLC,Cardiovascular,DXH
07/18/2022,K221148,Vivid iq,GE Medical Systems Ultrasound & Primary Care Diagnostics LLC,Radiology,IYN
07/18/2022,K221147,"Vivid T8, Vivid T9","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
07/15/2022,K220619,"Vivid S60N, Vivid S70N","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
07/14/2022,K221203,AHI System,Fifth Eye Inc.,Cardiovascular,QNV
07/13/2022,K221727,syngo.CT Extended Functionality,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
07/08/2022,K212783,ProstatID,"ScanMed, LLC",Radiology,QDQ
07/06/2022,K210069,Minuteful - kidney test,Healthy.io Ltd.,Clinical Chemistry,JIR
06/29/2022,K220975,"V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
06/29/2022,K213794,Eko Murmur Analysis Software (EMAS),"Eko Devices, Inc.",Cardiovascular,DQD
06/27/2022,K220851,Venue,GE Medical Systems,Radiology,IYN
06/27/2022,K220848,Venue Fit,GE Medical Systems,Radiology,IYN
06/24/2022,K220575,"MAGNETOM Free.Max, MAGNETOM Free.Star","Siemens Medical Solutions USA, Inc.",Radiology,LNH
06/23/2022,K220497,CoLumbo,Smart Soft Healthcare AD,Radiology,QIH
06/21/2022,K220800,Venue Go,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
06/17/2022,K213037,IDx-DR v2.3,Digital Diagnostics Inc.,Ophthalmic,PIB
06/17/2022,K220813,ART-PLAN,TheraPanacea,Radiology,QKB
06/17/2022,K221463,ElucidVivo A.3,Elucid Bioimaging Inc.,Radiology,LLZ
06/16/2022,K213504,"Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A",Canon Medical Systems Corporation,Radiology,JAK
06/10/2022,K221393,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH
06/08/2022,K213882,EarliPoint System,"EarliTec Diagnostics, Inc.",Neurology,QPF
06/08/2022,K213717,AIR Recon DL,"GE Medical Systems,LLC (GE Healthcare)",Radiology,LNH
06/06/2022,K220358,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
06/03/2022,K221314,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
06/03/2022,K213971,Atrial Fibrillation History Feature,Apple Inc.,Cardiovascular,QDB
06/02/2022,K220164,Rayvolve,AZmed SAS,Radiology,QBS
05/31/2022,K221248,Rapid LVO,iSchemaView Inc.,Radiology,QAS
05/31/2022,K220766,eMurmur Heart AI,CSD Labs GmbH,Cardiovascular,DQD
05/25/2022,K220416,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
05/17/2022,K221240,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
05/17/2022,K220499,Rapid PE Triage and Notification (PETN),iSchemaView Inc.,Radiology,QAS
05/17/2022,K221219,syngo.CT CaScoring,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
05/16/2022,K213583,"Achieva, Ingenia, Ingenia CX, Ingenia Elition and Ingenia Ambition MR Systems",Philips Medical Systems Nederland B.V.,Radiology,LNH
05/13/2022,K221106,Quantib Prostate,Quantib BV,Radiology,LLZ
05/13/2022,K220589,MAGNETOM Skyra Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
05/12/2022,K220105,Saige-Dx,"DeepHealth, Inc.",Radiology,QDQ
05/11/2022,K220446,Versana Balance,"GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
05/10/2022,K212519,Overjet Caries Assist,"Overjet, Inc.",Radiology,MYN
05/06/2022,K211966,Segment 3DPrint,Medviso AB,Radiology,LLZ
05/03/2022,K220013,X100HT with Slide Loader with Full Field Peripheral Blood Smear (PBS) Application,Scopio Labs Ltd.,Hematology,JOY
05/03/2022,K212915,MVision AI Segmentation,MVision AI,Radiology,QKB
04/29/2022,K220939,MAGNETOM Lumina and MAGNETOM Vida Fit with syngo MR XA50A,Siemens Medical Solutions USA Inc.,Radiology,LNH
04/29/2022,K220899,Oxehealth Vital Signs,Oxehealth Limited,Cardiovascular,QME
04/29/2022,K220590,aPROMISE X,EXINI Diagnostics AB,Radiology,LLZ
04/28/2022,K220264,EFAI RTSuite CT HN-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB
04/27/2022,K212441,Philips Incisive CT,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
04/26/2022,K212662,AliveCor QT Service,"AliveCor, Inc.",Cardiovascular,DQK
04/26/2022,K213886,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
04/22/2022,K213944,HealthOST,NanoxAI Ltd.,Radiology,JAK
04/21/2022,K213795,Videa Caries Assist,"VideaHealth, Inc",Radiology,MYN
04/15/2022,K213706,AI-Rad Companion Brain MR,Siemens Healthcare GmBh,Radiology,QIH
04/15/2022,K220141,RayStation 11B,RaySearch Laboratories AB (publ),Radiology,MUJ
04/08/2022,K220192,"Vantage Galan 3T, MRT-3020, V8.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
04/08/2022,K212274,INT Contour,Carina Medical LLC,Radiology,MUJ
04/06/2022,K203783,ClariPulmo,ClariPi Inc.,Radiology,LLZ
04/05/2022,K220043,"HERA W10 Diagnostic Ultrasound System, HERA W9 Diagnostic Ultrasound System","Samsung Medison Co., LTD",Radiology,IYN
04/05/2022,K214081,MRCAT Head & Neck,Philips Oy,Radiology,MUJ
04/04/2022,K212624,EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System,"Ever Fortune. AI Co., Ltd.",Radiology,QIH
04/01/2022,K220151,MAGNETOM Avanto Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
04/01/2022,K213657,DEEPVESSEL FFR,KeyaMed NA Inc.,Cardiovascular,PJA
03/22/2022,K212960,"Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,Radiology,IYN
03/22/2022,K200828,Athelas Home,Athelas Inc.,Hematology,GKZ
03/21/2022,K213721,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
03/16/2022,K213779,Customize,3D-Side SA,Radiology,QIH
03/14/2022,K214043,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM
03/14/2022,K203744,Arterys MICA,Arterys Inc.,Radiology,QIH
03/11/2022,K213725,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
03/10/2022,K213566,ClearRead Xray Pneumothorax,"Riverain Technologies, Inc.",Radiology,QFM
03/04/2022,K210365,Second Opinion,Pearl Inc.,Radiology,MYN
03/01/2022,K212365,BoneView,Gleamer,Radiology,QBS
02/25/2022,K213693,MAGNETOM Vida with syngo MR XA50A,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
02/24/2022,K213941,Annalise Enterprise CXR Triage Pneumothorax,Annalise-AI,Radiology,QFM
02/18/2022,K213319,"Viz ANEURYSM, Viz ANX","Viz.ai, Inc.",Radiology,QFM
02/18/2022,K213999,Deep Learning Image Reconstruction,"GE Medical Systems, LLC.",Radiology,JAK
02/17/2022,K213689,"Voluson P6, Voluson P8",GE Healthcare,Radiology,IYN
02/11/2022,K213603,SIGNA Artist Evo,GE Healthcare(Tianjin) Company Limited,Radiology,LNH
02/08/2022,K213165,Rapid,iSchema View Inc.,Radiology,LLZ
02/04/2022,K212654,"Micro C Medical Imaging System, M01","OXOS Medical, Inc.",Radiology,IZL
02/04/2022,K213938,Revolution Ascend,GE Healthcare Japan Corporation,Radiology,JAK
02/03/2022,K213976,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
01/28/2022,K203260,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
01/24/2022,K212333,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,Radiology,IYN
01/20/2022,K214019,syngo.CT Extended Functionality,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
01/20/2022,K213668,SIGNA Hero,"GE Healthcare (GE Medical Systems, LLC)",Radiology,LNH
01/19/2022,K210747,Caption Interpretation Automated Ejection Fraction Software,Caption Health,Radiology,QIH
01/19/2022,K212012,Follicle Clarity,Cycle Clarity,Radiology,QIH
01/16/2022,K211980,SIGNA Prime,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
01/14/2022,K210760,Precise Image,"Philips Medical Systems Nederland, B.V.",Radiology,JAK
01/14/2022,K213307,Eclipse II with Smart Noise Cancellation,"Carestream Health, Inc.",Radiology,MQB
01/14/2022,K213737,Quantib ND,Quantib B.V.,Radiology,LLZ
01/13/2022,K213642,"Voluson S6, Voluson S8, Voluson S8t, Voluson S10, Voluson S10 Expert",GE Healthcare,Radiology,IYN
01/12/2022,K212005,UNiD Spine Analyzer,"MEDICREA International, Inc.",Radiology,LLZ
01/07/2022,K211443,AIBOLIT 3D+,"AIbolit Technologies, LLC",Radiology,LLZ
01/06/2022,K213544,TOMTEC-ARENA,TOMTEC Imaging Systems GmbH,Radiology,QIH
12/29/2021,K213776,LiverSmart,Resonance Health Analysis Services Pty Ltd,Radiology,PCS
12/22/2021,K202404,BoneMRI,MRIguidance B.V,Radiology,QIH
12/21/2021,K212690,qXR-BT,Qure.ai Technologies,Radiology,QIH
12/21/2021,K210670,BU-CAD,TaiHao Medical Inc.,Radiology,QDQ
12/20/2021,K213275,EchoGo Core (2.0),Ultromics Limited,Radiology,QIH
12/16/2021,K213628,VBrain,Vysioneer Inc.,Radiology,QKB
12/16/2021,K212616,Koios DS,"Koios Medical, Inc.",Radiology,POK
12/15/2021,K213155,RT-Mind-AI,"MedMind Technology Co., Ltd.",Radiology,QKB
12/15/2021,K211803,HealthPPT,Zebra Medical Vision Ltd.,Radiology,QFM
12/09/2021,K212466,LVivo Seamless,DiA Imaging Analysis Ltd,Radiology,QIH
12/06/2021,K213096,Al-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.",Radiology,JAK
12/03/2021,K212219,AHI System,Fifth Eye Inc.,Cardiovascular,QNV
12/03/2021,K212442,Cydar EV (Series B) and Cydar EV Maps,Cydar Ltd.,Radiology,OWB
12/01/2021,K213305,"Vantage Fortian 1.5T, MRT-1550, V8.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
11/26/2021,K211541,MammoScreen 2.0,Therapixel,Radiology,QDQ
11/19/2021,K210831,OnQ Neuro,"CorTechs Labs, Inc",Radiology,QIH
11/19/2021,K211326,EndoScreener,"Chengdu Wision Medical Device Co., LTD.",Gastroenterology-Urology,QNP
11/17/2021,K212456,Swoop Point-of-Care Magnetic Resonance Imaging (POC MRI) Scanner System,"Hyperfine, Inc.",Radiology,LNH
11/17/2021,K212336,Soteria.AI,"Omega Medical Imaging, LLC",Radiology,OWB
11/17/2021,K211678,Lunit INSIGHT MMG,Lunit Inc.,Radiology,QDQ
11/16/2021,K212265,"TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite Diagnostic Ultrasound System, TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System","Shenzhen Mindray Bio-Medical Electronics Co.,LTD",Radiology,IYN
11/15/2021,K213436,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN
11/10/2021,K211733,Lunit INSIGHT CXR Triage,Lunit Inc.,Radiology,QFM
11/03/2021,K210543,IM007,"Implicity, Inc.",Cardiovascular,DQK
10/29/2021,K211161,Critical Care Suite with Endotracheal Tube Positing AI algorithm,"GE Medical Systems, LLC",Radiology,QIH
10/25/2021,K212218,Advanced Algorithms for Treatment Management Applications (AATMA),Elekta Solutions AB,Radiology,QKB
10/22/2021,K210807,FlightPlan for Liver,GE Medical Systems SCS,Radiology,LLZ
10/22/2021,K212516,IRNF App,Apple Inc.,Cardiovascular,QDB
10/20/2021,K210632,Contour ProtegeAI,MIM Software Inc.,Radiology,QKB
10/14/2021,K210999,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
10/14/2021,K212261,StrokeSENS LVO,"Circle Neurovascular Imaging, Inc",Radiology,QAS
10/12/2021,K212116,VBrain-OAR,Vysioneer Inc.,Radiology,QKB
10/02/2021,K202927,EYE-SYNC,"SyncThink, Inc.",Neurology,QEA
09/28/2021,K211964,SubtlePET,"Subtle Medical, Inc.",Radiology,KPS
09/24/2021,K212704,"Philips EPIQ Diagnostic Ultrasound System, Philips Affiniti Diagnostic Ultrasound System",Philips Medical Systems,Radiology,IYN
09/21/2021,DEN200080,Paige Prostate,Paige.AI,Pathology,QPN
09/17/2021,K212067,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK
09/17/2021,K212269,Intelligent NR,Canon Inc.,Radiology,MQB
09/15/2021,K210085,HealthCCSng,Zebra Medical Vision Ltd.,Radiology,JAK
09/10/2021,K203785,ClariSIGMAM,ClariPi Inc.,Radiology,QIH
09/10/2021,K210438,Versana Premier,"GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
09/10/2021,K211828,Aquilion Exceed LB,Canon Medical Systems Corporation,Radiology,JAK
09/09/2021,K211824,"HERA W9, HERA W10 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
09/08/2021,K211945,V8 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
09/08/2021,DEN200030,FEops HEARTguide,FEops NV,Cardiovascular,QQI
09/08/2021,K203555,AmCAD-UT,AmCad BioMed Corporation,Radiology,QIH
09/08/2021,K211597,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Medical Systems,Radiology,IYN
09/08/2021,K211867,RayStation 11.0,RaySearch Laboratories AB (publ),Radiology,MUJ
09/02/2021,K211881,AI Segmentation,"Varian Medical Systems, Inc.",Radiology,MUJ
08/31/2021,K201560,Auto Lung Nodule Detection,"Samsung Electronics Co.,Ltd.",Radiology,MYN
08/31/2021,K212383,EndoNaut,Therenva SAS,Radiology,OWB
08/27/2021,K203696,RBknee,Radiobotics ApS,Radiology,LLZ
08/20/2021,K211846,Discovery MI Gen2,"GE Medical Systems, LLC.",Radiology,KPS
08/16/2021,K212230,TruSPECT  Radiological Image Processing Station,Spectrum Dynamics Medical Ltd,Radiology,LLZ
08/12/2021,K211179,InferRead CT Stroke.AI,"Infervision Medical Technology Co., Ltd.",Radiology,QAS
08/11/2021,K203448,uCT ATLAS with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
08/06/2021,K211764,Vereos PET/CT,Philips Medical Systems Nederland B.V.,Radiology,KPS
08/06/2021,K212100,Kosmos,"EchoNous, Inc.",Radiology,IYN
08/02/2021,K211431,breastscape v1.0,Olea Medical,Radiology,QIH
07/30/2021,K211222,qER-Quant,Qure.ai Technologies,Radiology,QIH
07/30/2021,K211379,syngo.via RT Image Suite,Siemens Medical Solutions USA Inc.,Radiology,MUJ
07/27/2021,K211655,aPROMISE,EXINI Diagnostics AB,Radiology,LLZ
07/27/2021,K212074,ClariCT.AI,ClariPi Inc.,Radiology,LLZ
07/27/2021,K211279,Volpara Imaging Software,Volpara Health Technologies Limited,Radiology,LLZ
07/27/2021,K210791,Us2.v1,eko.ai Pte. Ltd. d/b/a Us2.ai,Radiology,QIH
07/23/2021,K211951,GI Genius,Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
07/20/2021,K211906,Vital Signs,Oxehealth Limited,Cardiovascular,QME
07/20/2021,K210666,Chest-CAD,"Imagen Technologies, Inc",Radiology,MYN
07/20/2021,K210719,Change Healthcare Anatomical AI,Change Healthcare Canada Company,Radiology,QIH
07/12/2021,K211506,PowerLook Density Assessment V4.0,"iCAD, Inc.",Radiology,QIH
07/08/2021,K211788,HALO,Nico.Lab B.V.,Radiology,QAS
07/01/2021,K210611,MAGNETOM Free.Max,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
06/29/2021,K210645,RayStation 10.1,RaySearch Laboratories AB (publ),Radiology,MUJ
06/17/2021,K203514,Precise Position,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
06/16/2021,K202718,Qmenta Care Platform Family,"Mint Labs, Inc., d/b/a. QMENTA",Radiology,LLZ
06/16/2021,K210034,EnsoSleep,"EnsoData, Inc.",Neurology,OLZ
06/11/2021,K210484,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System","Medtronic, Inc.",Cardiovascular,MXD
06/10/2021,K203629,IDx-DR,Digital Diagnostics Inc.,Ophthalmic,PIB
06/10/2021,K211459,"syngo.via MI WorkFlows, Scenium, syngo MBF","Siemens Medical Solutions USA, Inc.",Radiology,QIH
06/08/2021,K210458,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",Abbott Medical,Radiology,NQQ
06/02/2021,DEN200069,Cognoa ASD Diagnosis Aid,"Cognoa, Inc.",Neurology,QPF
06/02/2021,K210404,Transpara 1.7.0,ScreenPoint Medical B.V.,Radiology,QDQ
05/21/2021,K202527,Zio ECG Utilization Software (ZEUS) System,"iRhythm Technologies, Inc.",Cardiovascular,DQK
05/19/2021,K210237,CINA CHEST,Avicenna.AI,Radiology,QAS
05/19/2021,K210187,Overjet Dental Assist,"Overjet, Inc.",Radiology,LLZ
05/13/2021,K211118,SIGNA 7.0T,"GE Medical Systems, LLC",Radiology,LNH
05/13/2021,K210426,HS40 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
04/30/2021,K210001,HYPER AiR,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
04/23/2021,K203314,Cartesion Prime (PCD-1000A/3) V10.8,Canon Medical Systems Corporation,Radiology,KPS
04/23/2021,K203502,MEDO-Thyroid,MEDO DX Pte. Ltd.,Radiology,QIH
04/21/2021,K210556,Preview Shoulder,Genesis Software Innovations,Radiology,QIH
04/20/2021,K203610,Automatic Anatomy Recognition (AAR),"Quantitative Radiology Solutions, LLC",Radiology,QKB
04/19/2021,K203469,AI Segmentation,"Varian Medical Systems, Inc.",Radiology,MUJ
04/16/2021,K203517,Saige-Q,"DeepHealth, Inc.",Radiology,QFM
04/14/2021,K202992,"BriefCase, RIB Fractures Triage (RibFx)","Aidoc Medical, Ltd.",Radiology,QFM
04/09/2021,DEN200055,GI Genius,"Cosmo Artificial Intelligence - AI, LTD",Gastroenterology-Urology,QNP
04/02/2021,K202928,DV. Target,Deepvoxel INC,Radiology,QKB
04/02/2021,K202441,Eclipse II with Smart Noise Cancellation,"Carestream Health, Inc.",Radiology,MQB
04/01/2021,DEN200038,Gili Pro BioSensor (also known as Gili BioSensor System),ContinUse Biometrics Ltd.,Cardiovascular,QOK
03/31/2021,K210071,SIS System (Version 5.1.0),"Surgical Information Sciences, Inc.",Radiology,LLZ
03/31/2021,K203258,syngo.CT Lung CAD,Siemens Healthcare GmbH,Radiology,OEB
03/31/2021,K203443,"MAGNETOM Vida, MAGNETOM Sola, MAGNETOM Lumina, MAGNETOM Altea","Siemens Medical Solutions USA, Inc.",Radiology,LNH
03/26/2021,DEN200019,Oxehealth Vital Signs,Oxehealth Limited,Cardiovascular,QME
03/24/2021,K203225,Aquilion ONE (TSX-306A/3) V10.4 with Spectral Imaging System,Canon Medical Systems Corporation,Radiology,JAK
03/23/2021,K210209,Viz ICH,"Viz.ai, Inc.",Radiology,QAS
03/19/2021,K203235,VBrain,Vysioneer Inc.,Radiology,QKB
03/12/2021,K202284,Oncospace,"Oncospace, Inc.",Radiology,MUJ
03/12/2021,K203822,ProFound AI Software V3.0,iCAD Inc.,Radiology,QDQ
03/09/2021,K203256,Imbio RV/LV Software,"Imbio, LLC",Radiology,QIH
03/05/2021,K202300,"Optellum Virtual Nodule Clinic, Optellum software, Optellum platform",Optellum Ltd,Radiology,POK
03/04/2021,K203323,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
03/02/2021,K203617,MaxFOV 2,"GE Medical Systems, LLC.",Radiology,JAK
03/01/2021,DEN200022,Analytic for Hemodynamic Instability (AHI),Fifth Eye Inc.,Cardiovascular,QNV
02/26/2021,K203182,SubtleMR,"Subtle Medical, Inc.",Radiology,LLZ
02/25/2021,K202990,NinesMeasure,"Nines, Inc.",Radiology,LLZ
02/25/2021,K203578,"OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System","Perimeter Medical Imaging AI, Inc.",Radiology,NQQ
02/19/2021,K202212,TruPlan,Circle Cardiovascular Imaging Inc.,Radiology,LLZ
02/09/2021,K203103,"Synapse 3D, Synapse 3D Base Tools v6.1",Fujifilm Corporation,Radiology,LLZ
02/05/2021,K210053,LVivo Software Application,DiA Imaging Analysis Ltd,Radiology,QIH
02/04/2021,K203582,QUIBIM Precision Prostate (qp-Prostate),QUIBIM S.L.,Radiology,LLZ
01/29/2021,K201411,Visage Breast Density,Visage Imaging GmbH,Radiology,QIH
01/15/2021,K202767,"Vantage Orian 1.5T, MRT-1550, V6.0",Canon Medical Systems Corporation,Radiology,LNH
01/15/2021,K193271,uAI EasyTriage-Rib,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QFM
01/14/2021,K202700,ART-Plan,TheraPanacea,Radiology,QKB
01/12/2021,K203280,Hepatica v1 (Hepatica v1.0.0),Perspectum Ltd.,Radiology,LNH
01/12/2021,K201836,Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i,Canon Medical Systems Corporation,Radiology,JAK
01/11/2021,P200003,Imagio Breast Imaging System,"Seno Medical Instruments, Inc.",Radiology,QNK
01/09/2021,K200717,CLEWICU System (ClewICUServer and ClewICUnitor),CLEW Medical Ltd.,Cardiovascular,QNL
01/08/2021,K203329,HeartFlow Analysis,"HeartFlow, Inc.",Cardiovascular,PJA
01/07/2021,K202414,BrainInsight,"Hyperfine Research, Inc",Radiology,LLZ
12/29/2020,K203508,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
12/22/2020,K202229,AI Metrics,"AI Metrics, LLC",Radiology,LLZ
12/18/2020,K201555,EchoGo Pro,Ultromics Ltd,Radiology,POK
12/10/2020,K203042,Aquilion Exceed LB (TSX-202A/3) V10.6 with AiCE-I,Canon Medical Systems Corporation,Radiology,JAK
12/10/2020,K201745,Deep Learning Image Reconstruction for Gemstone Spectral Imaging,"GE Medical Systems, LLC",Radiology,JAK
12/07/2020,K201039,HepaFat-AI,Resonance Health Analysis Services Pty Ltd,Radiology,LNH
12/04/2020,K202487,HealthJOINT,Zebra Medical Vision Ltd.,Radiology,LLZ
11/20/2020,K203169,Revolution Ascend,GE Healthcare Japan Corporation,Radiology,JAK
11/20/2020,K193287,CorInsights MRI,"ADM Diagnostics, Inc.",Radiology,LLZ
